#            Beta            <|P|>        Err <|P|>                X            Err X            NConf
            5.811   3.33378589e-03   1.94444383e-05   4.18279752e-02   7.93688632e-04   1.00000000e+04
            5.923   4.63319512e-03   2.95469984e-05   8.17470905e-02   1.20870106e-03   1.00000000e+04
            5.971   5.90608022e-03   3.05201972e-05   1.38578313e-01   2.57728286e-03   1.00000000e+04
            6.019   9.11907763e-03   5.80381558e-05   4.29532212e-01   9.08197408e-03   1.00000000e+04
          6.06239   2.34982327e-02   9.15200895e-05   1.58666340e+00   1.62308394e-02   1.00000000e+04
            6.091   3.60076895e-02   1.01418147e-04   8.05797921e-01   1.48997328e-02   1.00000000e+04
            6.133   4.47942453e-02   5.68979871e-05   4.08046695e-01   7.83350160e-03   1.00000000e+04
            6.348   7.03159552e-02   4.48602735e-05   3.19704457e-01   3.11150259e-03   1.00000000e+04
