#         Beta            <|P|>        Err_<|P|>                X            Err_X            NConf
   6.03100000e+00   9.88135087e-04   4.99974844e-06   2.90557284e-02   4.89855545e-04   6.53300000e+03
   6.16900000e+00   1.19418475e-03   7.97442052e-06   4.28805021e-02   9.65981314e-04   6.11500000e+03
   6.22700000e+00   1.43789118e-03   1.14763541e-05   6.56530727e-02   1.47302921e-03   6.12700000e+03
   6.28400000e+00   1.96025198e-03   1.25940545e-05   1.30372827e-01   3.03440686e-03   6.42900000e+03
   6.33514000e+00   6.72898126e-03   9.93310560e-05   1.21653427e+00   2.09343184e-02   6.22000000e+03
   6.36700000e+00   1.21528094e-02   2.55266275e-05   2.98810341e-01   8.48874377e-03   5.70800000e+03
   6.41400000e+00   1.52269894e-02   1.99520604e-05   2.01187213e-01   4.07072000e-03   6.48300000e+03
   6.65200000e+00   2.64068904e-02   1.88484784e-05   1.89124713e-01   2.36116955e-03   6.48700000e+03
