#         Beta            <|P|>        Err_<|P|>                X            Err_X            NConf
   6.03100000e+00   2.79620694e-03   8.37346754e-06   2.91991425e-02   3.17025683e-04   1.40000000e+04
   6.16900000e+00   3.39331201e-03   1.57988419e-05   4.50444585e-02   4.53034350e-04   1.40000000e+04
   6.22700000e+00   4.11697968e-03   1.56650599e-05   7.03773374e-02   9.23152764e-04   1.40000000e+04
   6.28400000e+00   6.00027639e-03   2.71442068e-05   1.51677723e-01   1.86724070e-03   1.40000000e+04
   6.33514000e+00   9.37143545e-03   3.10177051e-05   2.52573524e-01   2.60370702e-03   1.40000000e+04
   6.36700000e+00   1.18724916e-02   4.16329537e-05   2.65203405e-01   1.81047922e-03   1.40000000e+04
   6.41400000e+00   1.49640693e-02   2.84034826e-05   2.27845375e-01   3.20439561e-03   1.40000000e+04
   6.65200000e+00   2.63814525e-02   3.45218152e-05   1.97183724e-01   2.56282621e-03   1.40000000e+04
