#            Beta            <|P|>        Err <|P|>                X            Err X            NConf
            6.031   4.22992831e-04   6.27357979e-06   2.78722011e-02   1.54272102e-03   1.00000000e+03
            6.169   5.01767849e-04   7.82577445e-06   3.79910022e-02   1.25768270e-03   1.00000000e+03
            6.227   6.21902000e-04   1.03194810e-05   5.90343997e-02   1.91920734e-03   1.00000000e+03
            6.284   8.27446580e-04   1.67003466e-05   1.20850898e-01   6.69884919e-03   1.00000000e+03
          6.33514   4.02555382e-03   3.32357852e-04   5.13656616e+00   3.98917655e-01   1.00000000e+03
            6.367   1.21521149e-02   2.03167927e-05   2.89758623e-01   1.26493368e-02   1.00000000e+03
            6.414   1.51744206e-02   2.00331057e-05   2.01100022e-01   8.89898399e-03   1.00000000e+03
            6.652   2.64130738e-02   1.87638802e-05   1.74227893e-01   8.18992669e-03   1.00000000e+03
