#         Beta            <|P|>        Err_<|P|>                X            Err_X            NConf
   6.03100000e+00   4.24929614e-03   2.51946333e-05   2.97368510e-02   4.56704750e-04   1.00000000e+04
   6.16900000e+00   5.29054529e-03   3.14151383e-05   4.50459097e-02   7.21617633e-04   1.00000000e+04
   6.22700000e+00   5.51730496e-03   1.06478784e-04   5.15757581e-02   2.46796203e-03   6.00000000e+03
   6.28400000e+00   8.51781323e-03   1.51300559e-04   1.19203848e-01   5.99507830e-03   1.00000000e+03
   6.33514000e+00   1.06810684e-02   2.07569728e-04   1.48960024e-01   7.78835869e-03   1.00000000e+03
   6.36700000e+00   1.27098181e-02   1.70871267e-04   1.81524450e-01   6.63617096e-03   1.00000000e+03
   6.41400000e+00   1.44465122e-02   2.04990742e-04   2.04104716e-01   5.18598383e-03   1.00000000e+03
   6.65200000e+00   2.43409666e-02   2.02770355e-04   3.14154008e-01   1.16068390e-02   1.00000000e+03
