#            Beta            <|P|>        Err <|P|>                X            Err X            NConf
            5.687   5.76127686e-03   3.50910818e-05   5.34745004e-02   7.28276732e-04   1.00000000e+04
            5.778   8.36433084e-03   2.61959711e-05   1.15425512e-01   2.14984473e-03   1.00000000e+04
            5.818   1.08724746e-02   5.65637952e-05   1.99953042e-01   4.13013808e-03   1.00000000e+04
            5.859   1.69405954e-02   1.19782339e-04   6.17625274e-01   1.17394955e-02   1.00000000e+04
          5.89425   4.44448326e-02   2.05312938e-04   2.36863629e+00   2.56978592e-02   1.00000000e+04
            5.921   6.89866457e-02   1.06106556e-04   1.01932262e+00   1.89378884e-02   1.00000000e+04
             5.96   8.39450527e-02   7.90910862e-05   5.21728218e-01   8.55496800e-03   1.00000000e+04
             6.15   1.21648744e-01   9.12761492e-05   3.73384124e-01   6.42799827e-03   1.00000000e+04
