#            Beta            <|P|>        Err <|P|>                X            Err X            NConf
            6.373   6.38611469e-04   1.03652531e-05   2.28656062e-02   8.21532643e-04   1.30000000e+03
            6.534   6.50853114e-04   7.81490833e-06   2.41440204e-02   7.77673016e-04   1.30000000e+03
              6.6   6.82018884e-04   9.94724308e-06   2.81988779e-02   9.57966516e-04   1.30000000e+03
            6.663   7.94848715e-04   1.36132536e-05   3.54967208e-02   1.84507834e-03   1.30000000e+03
           6.7132   1.20022500e-03   3.08513258e-05   7.39165538e-02   2.64622226e-03   1.40000000e+03
            6.755   1.88777421e-03   2.56665244e-05   7.89049650e-02   4.23989262e-03   1.30000000e+03
            6.807   2.38599076e-03   1.71485608e-05   6.92113942e-02   2.51731710e-03   1.30000000e+03
            7.062   4.66112173e-03   1.76385525e-05   7.57582086e-02   2.86805494e-03   1.30000000e+03
