#         beta              |P|          |P|_err                X            X_err            Nconf
   6.37300000e+00   6.47090532e-04   6.33861841e-06   2.43716678e-02   8.34147241e-04   1.99300000e+03
   6.53400000e+00   6.66858538e-04   7.99631959e-06   2.53877498e-02   9.36330149e-04   2.04700000e+03
   6.60000000e+00   6.73038339e-04   8.91726935e-06   2.73425588e-02   8.98963744e-04   1.97700000e+03
   6.66300000e+00   7.60194649e-04   9.74845069e-06   3.36671286e-02   1.07375208e-03   1.92900000e+03
   6.71320000e+00   1.23843801e-03   2.91396205e-05   7.59382775e-02   2.24498822e-03   2.01500000e+03
   6.75500000e+00   1.92949906e-03   1.29927647e-05   7.45734279e-02   1.83055610e-03   2.06500000e+03
   6.80700000e+00   2.39093306e-03   1.05129761e-05   7.23578083e-02   2.29561387e-03   2.05000000e+03
   7.06200000e+00   4.67944590e-03   1.94457713e-05   7.48057813e-02   2.75101806e-03   1.99700000e+03
