#            beta              |P|          |P|_err                X            X_err            Nconf
   6.37300000e+00   6.41965093e-04   9.84035537e-06   2.47522528e-02   1.04414354e-03   8.46000000e+02
   6.53400000e+00   6.35655791e-04   1.13167557e-05   2.59502304e-02   1.63921007e-03   6.42000000e+02
   6.60000000e+00   6.87443557e-04   1.04892235e-05   2.46704562e-02   1.29025300e-03   8.55000000e+02
   6.66300000e+00   7.48496085e-04   1.47743445e-05   3.65001314e-02   2.17447453e-03   8.39000000e+02
   6.71320000e+00   1.22556325e-03   3.91470259e-05   7.82869864e-02   3.45698568e-03   8.51000000e+02
   6.75500000e+00   1.89591010e-03   3.38629069e-05   7.79190296e-02   4.09448260e-03   8.38000000e+02
   6.80700000e+00   2.45167918e-03   2.34127409e-05   7.22885964e-02   4.44151273e-03   8.29000000e+02
   7.06200000e+00   4.67974636e-03   1.67951036e-05   7.56306831e-02   4.58074731e-03   8.18000000e+02
