#          |P|               []
   5.25773733e-03   6.44192000e-01
   3.07493394e-03   6.44519000e-01
   3.35715599e-03   6.44378000e-01
   4.69070096e-03   6.44425000e-01
   5.33850872e-03   6.44349000e-01
   3.51957352e-03   6.44445000e-01
   4.60993736e-03   6.44175000e-01
   4.00594716e-03   6.44346000e-01
   3.59106890e-03   6.44342000e-01
   4.41882439e-03   6.44226000e-01
   5.64036530e-03   6.44406000e-01
   3.15642165e-03   6.44411000e-01
   4.03911612e-03   6.44474000e-01
   4.06521874e-03   6.44404000e-01
   4.34083875e-03   6.44402000e-01
   3.07428901e-03   6.44171000e-01
   4.32183585e-03   6.44462000e-01
   4.69571760e-03   6.44298000e-01
   3.42205004e-03   6.44338000e-01
   6.30036065e-03   6.44307000e-01
   6.78664533e-03   6.44324000e-01
   5.50409954e-03   6.44404000e-01
   5.46109346e-03   6.44388000e-01
   5.50279121e-03   6.44399000e-01
   4.25618328e-03   6.44294000e-01
   5.91147729e-03   6.44462000e-01
   6.92321039e-03   6.44345000e-01
   3.29893182e-03   6.44005000e-01
   5.13138849e-03   6.44299000e-01
   4.85791015e-03   6.44218000e-01
   3.72803560e-03   6.44292000e-01
   2.44575199e-03   6.44255000e-01
   4.25304370e-03   6.44376000e-01
   3.91744370e-03   6.44378000e-01
   3.94430633e-03   6.44254000e-01
   6.00491578e-03   6.44400000e-01
   5.58123499e-03   6.44497000e-01
   4.03585057e-03   6.44273000e-01
   6.53461027e-03   6.44336000e-01
   4.15456796e-03   6.44391000e-01
   8.31084172e-04   6.44276000e-01
   2.28519520e-03   6.44226000e-01
   2.77194422e-03   6.44120000e-01
   6.22412959e-03   6.44369000e-01
   4.23018944e-03   6.44220000e-01
   3.93779966e-03   6.44251000e-01
   3.31224844e-03   6.44346000e-01
   5.69176799e-03   6.44330000e-01
   5.35247155e-03   6.44428000e-01
   4.40534159e-03   6.44318000e-01
   3.49917855e-03   6.44408000e-01
   5.70638900e-03   6.44326000e-01
   6.92082459e-03   6.44347000e-01
   5.42637086e-03   6.44327000e-01
   3.15719155e-03   6.44345000e-01
   4.99166684e-03   6.44408000e-01
   4.65128101e-03   6.44214000e-01
   7.05540159e-03   6.44233000e-01
   3.22264299e-03   6.44218000e-01
   2.82778339e-03   6.44389000e-01
   3.74133870e-03   6.44358000e-01
   3.84678847e-03   6.44346000e-01
   4.72500426e-03   6.44295000e-01
   5.94489612e-03   6.44325000e-01
   5.10261863e-03   6.44366000e-01
   5.75254092e-03   6.44359000e-01
   3.55345125e-03   6.44370000e-01
   4.67389747e-03   6.44420000e-01
   4.63594317e-03   6.44426000e-01
   7.40864760e-03   6.44381000e-01
   3.99110518e-03   6.44164000e-01
   5.65584036e-03   6.44427000e-01
   3.21626686e-03   6.44333000e-01
   3.32806246e-03   6.44384000e-01
   5.90014685e-03   6.44191000e-01
   6.15206333e-03   6.44348000e-01
   5.79738488e-03   6.44315000e-01
   5.08011084e-03   6.44377000e-01
   3.36036830e-03   6.44358000e-01
   5.07717084e-03   6.44186000e-01
   5.01364534e-03   6.44424000e-01
   3.71982329e-03   6.44320000e-01
   4.42074491e-03   6.44262000e-01
   4.20241458e-03   6.44319000e-01
   3.54915878e-03   6.44233000e-01
   5.34141928e-03   6.44387000e-01
   5.77106827e-03   6.44255000e-01
   5.16328304e-03   6.44430000e-01
   4.75262979e-03   6.44223000e-01
   5.02329980e-03   6.44374000e-01
   3.95182453e-03   6.44363000e-01
   6.15506394e-03   6.44479000e-01
   5.37763085e-03   6.44247000e-01
   4.84023306e-03   6.44281000e-01
   3.87649650e-03   6.44323000e-01
   3.52125757e-03   6.44260000e-01
   7.37890750e-03   6.44274000e-01
   5.39295040e-03   6.44333000e-01
   3.49221109e-03   6.44365000e-01
   3.16735289e-03   6.44322000e-01
   1.83745928e-03   6.44318000e-01
   5.17516682e-03   6.44380000e-01
   3.92685235e-03   6.44430000e-01
   5.13570420e-03   6.44307000e-01
   6.36625271e-03   6.44273000e-01
   5.78133124e-03   6.44262000e-01
   5.47281498e-03   6.44424000e-01
   4.47234201e-03   6.44231000e-01
   5.19954452e-03   6.44291000e-01
   4.04641547e-03   6.44366000e-01
   1.48490630e-03   6.44222000e-01
   2.84097085e-04   6.44268000e-01
   2.63705452e-03   6.44312000e-01
   3.75904935e-03   6.44246000e-01
   5.27347915e-03   6.44289000e-01
   4.19848182e-03   6.44412000e-01
   6.30509938e-03   6.44222000e-01
   5.11626762e-03   6.44362000e-01
   5.06812462e-03   6.44413000e-01
   4.49137874e-03   6.44447000e-01
   5.97216781e-03   6.44220000e-01
   3.98760097e-03   6.44409000e-01
   4.45185108e-03   6.44375000e-01
   3.99349403e-03   6.44217000e-01
   5.63119902e-03   6.44322000e-01
   4.08737796e-03   6.44253000e-01
   4.98793421e-03   6.44540000e-01
   5.27230854e-03   6.44276000e-01
   4.87529676e-03   6.44207000e-01
   4.20188547e-03   6.44368000e-01
   3.53573213e-03   6.44236000e-01
   5.22864388e-03   6.44353000e-01
   3.68230529e-03   6.44319000e-01
   9.93788541e-04   6.44357000e-01
   3.07922710e-03   6.44432000e-01
   2.75013067e-03   6.44555000e-01
   4.61970837e-03   6.44374000e-01
   4.14613557e-03   6.44263000e-01
   4.61238195e-03   6.44271000e-01
   4.27357557e-03   6.44321000e-01
   5.01650724e-03   6.44277000e-01
   2.66153280e-03   6.44273000e-01
   4.14289962e-03   6.44291000e-01
   3.89779426e-03   6.44373000e-01
   3.58217809e-03   6.44317000e-01
   2.60820814e-03   6.44292000e-01
   3.38790601e-03   6.44211000e-01
   5.42253659e-03   6.44280000e-01
   5.36468699e-03   6.44386000e-01
   5.78444575e-03   6.44366000e-01
   4.65984731e-03   6.44252000e-01
   4.32332232e-03   6.44306000e-01
   4.38192232e-03   6.44355000e-01
   2.77841926e-03   6.44329000e-01
   5.37653191e-03   6.44339000e-01
   4.23503099e-03   6.44302000e-01
   5.52782533e-03   6.44565000e-01
   5.37479523e-03   6.44326000e-01
   5.14272702e-03   6.44264000e-01
   3.01221182e-03   6.44138000e-01
   3.92300971e-03   6.44295000e-01
   5.78302389e-03   6.44415000e-01
   6.45908153e-03   6.44391000e-01
   3.96115908e-03   6.44327000e-01
   5.71864576e-03   6.44292000e-01
   3.88151349e-03   6.44304000e-01
   4.65970050e-03   6.44442000e-01
   3.68551735e-03   6.44212000e-01
   4.48188220e-03   6.44345000e-01
   4.62939414e-03   6.44267000e-01
   5.60553217e-03   6.44333000e-01
   4.79855658e-03   6.44184000e-01
   3.78067797e-03   6.44188000e-01
   4.95329268e-03   6.44245000e-01
   4.12895169e-03   6.44280000e-01
