#         Beta            <|P|>        Err_<|P|>                X            Err_X            NConf
   6.29800000e+00   7.69363392e-04   8.99764320e-06   2.55438298e-02   8.09970508e-04   2.44600000e+03
   6.45500000e+00   7.76418312e-04   9.07278686e-06   2.55677237e-02   6.24976167e-04   2.34400000e+03
   6.51900000e+00   8.45348941e-04   7.53880040e-06   3.07739741e-02   7.24564719e-04   2.28100000e+03
   6.58200000e+00   9.80933165e-04   1.27908976e-05   4.59896989e-02   1.39035021e-03   2.27500000e+03
   6.63310000e+00   1.83617473e-03   3.26991110e-05   1.20801136e-01   3.34788518e-03   2.22700000e+03
   6.67200000e+00   2.89429405e-03   2.17144896e-05   1.01867213e-01   3.33062346e-03   2.21500000e+03
   6.72300000e+00   3.70332323e-03   1.82666887e-05   8.56095743e-02   2.08618775e-03   2.18400000e+03
   6.97600000e+00   7.09855615e-03   1.88267961e-05   9.23402396e-02   2.68840795e-03   2.49600000e+03
