#         Beta            <|P|>        Err_<|P|>                X            Err_X            NConf
   6.29800000e+00   7.63560401e-04   4.84990303e-06   2.52987302e-02   4.93218683e-04   4.51800000e+03
   6.45500000e+00   7.78118697e-04   6.42232558e-06   2.59337076e-02   4.58169037e-04   4.48000000e+03
   6.51900000e+00   8.48433876e-04   4.59657154e-06   3.05590837e-02   4.32284820e-04   4.37200000e+03
   6.58200000e+00   9.97675353e-04   1.03584483e-05   4.47271459e-02   1.14237952e-03   4.39800000e+03
   6.63310000e+00   1.78585730e-03   2.44253386e-05   1.22873754e-01   2.29351164e-03   4.42400000e+03
   6.67200000e+00   2.88775245e-03   1.61811675e-05   1.04754176e-01   3.69176113e-03   4.39100000e+03
   6.72300000e+00   3.71393265e-03   1.18632544e-05   8.32848514e-02   1.64815131e-03   4.38400000e+03
   6.97600000e+00   7.08267012e-03   1.34821497e-05   8.97488754e-02   1.96261405e-03   4.77200000e+03
